word,frequency
on,89
the,140
computational,3
inefficiency,1
of,249
large,11
batch,3
sizes,1
for,417
stochastic,17
gradient,8
descent,1
advance,1
prediction,16
ventricular,1
tachyarrhythmias,1
using,85
patient,4
metadata,2
and,265
multi-task,6
networks,93
online,13
abstraction,2
with,156
mdp,1
homomorphisms,1
deep,95
learning,154
hierarchical,6
policy,6
design,15
sample-efficient,1
robot,3
table,1
tennis,1
through,12
self-play,1
joint,13
information,21
freshness,1
completion,1
time,16
optimization,18
vehicular,2
automated,6
tactical,1
decision,6
planning,12
model,37
strategic,1
values,2
guidance,2
local,12
action-value-ambiguity,1
large-scale,8
fine-grained,3
evaluation,18
popular,2
jpeg,1
forgery,2
localization,12
schemes,2
do,5
technical,2
universities,1
exhibit,1
distinct,1
behaviour,1
in,195
global,7
university,1
rankings?,1
a,202
times,2
higher,2
education,5
case,5
study,11
longitudinal,5
identifying,3
paying,1
down,1
architectural,2
debt,1
optimized,2
portfolio,1
contracts,3
bidding,1
cloud,8
detecting,6
offensive,1
content,2
open-domain,2
conversations,1
two,3
stage,1
semi-supervision,1
flexible,4
scalable,7
state,8
tracking,13
framework,20
goal-oriented,2
dialogue,8
systems,43
systematic,5
generalization,3
what,5
is,7
required,1
can,5
it,4
be,4
learned?,1
relation,3
between,7
outdated,1
docker,1
containers,1
severity,1
vulnerabilities,2
bugs,1
super-resolution,4
based,42
image-adapted,1
cnn,4
denoisers,1
incorporating,1
training,22
data,51
internal,2
test,3
lipizzaner,1
system,29
that,3
scales,1
robust,25
generative,24
adversarial,38
network,74
advent,1
entropy,9
minimization,2
domain,8
adaptation,3
semantic,21
segmentation,33
runtime,1
analysis,38
self-adaptive,1
mutation,1
rates,1
molecular,4
sets,6
moses,1
benchmarking,3
platform,6
generation,17
models,33
structure-preserving,2
constrained,4
optimal,13
trajectory,4
wheeled,1
inverted,1
pendulum,1
practical,3
full,2
resolution,2
learned,4
lossless,1
image,46
compression,9
distributed,22
augmented,5
reality,5
medical,7
simulation,4
graph-based,2
reasoning,9
real,3
bangladeshi,1
sign,3
language,12
detection,55
faster,5
r-cnn,3
millimeter,3
wave,3
receiver,1
comparison,4
under,9
energy,7
vs,1
spectral,4
efficiency,3
